"Country","Agriculture, forestry, and fishing, value added (% of GDP)","Rank","Year"
"Cyprus","null","118","1963"
"Georgia","null","119","1963"
"Kazakhstan","null","120","1963"
"Kyrgyzstan","null","121","1963"
"Uzbekistan","null","122","1963"
"Tajikistan","null","123","1963"
"Turkmenistan","null","124","1963"
"Palestine, State of","null","125","1963"
"Timor-Leste","null","126","1963"
"Liberia","null","127","1963"
"Gambia (the)","null","128","1963"
"Tanzania, the United Republic of","null","129","1963"
"Zimbabwe","null","130","1963"
"Namibia","null","131","1963"
"Congo (the Democratic Republic of the)","null","132","1963"
"Equatorial Guinea","null","133","1963"
"Ethiopia","null","134","1963"
"Libya","null","135","1963"
"Eritrea","null","136","1963"
"Burundi","null","137","1963"
"Cameroon","null","138","1963"
"Central African Republic (the)","null","139","1963"
"Guinea","null","140","1963"
"Madagascar","null","141","1963"
"Mali","null","142","1963"
"Nigeria","null","143","1963"
"Rwanda","null","144","1963"
"Sierra Leone","null","145","1963"
"South Sudan","null","146","1963"
"Morocco","null","147","1963"
"Tunisia","null","148","1963"
"Algeria","null","149","1963"
"Mauritius","null","150","1963"
"Guinea-Bissau","null","151","1963"
"Mozambique","null","152","1963"
"Sao Tome and Principe","null","153","1963"
"Angola","null","154","1963"
"Cabo Verde","null","155","1963"
"Comoros (the)","null","156","1963"
"Seychelles","null","157","1963"
"Djibouti","null","158","1963"
"Canada","null","159","1963"
"United States of America (the)","null","160","1963"
"Mexico","null","161","1963"
"Cuba","null","162","1963"
"Dominican Republic (the)","null","163","1963"
"Guatemala","null","164","1963"
"Haiti","null","165","1963"
"Nicaragua","null","166","1963"
"Panama","null","167","1963"
"El Salvador","null","168","1963"
"Argentina","null","169","1963"
"Bolivia (Plurinational State of)","null","170","1963"
"Colombia","null","171","1963"
"Uruguay","null","172","1963"
"Venezuela (Bolivarian Republic of)","null","173","1963"
"Jamaica","null","174","1963"
"Belize","null","175","1963"
"Trinidad and Tobago","null","176","1963"
"Barbados","null","177","1963"
"Grenada","null","178","1963"
"Bahamas (the)","null","179","1963"
"Dominica","null","180","1963"
"Saint Lucia","null","181","1963"
"Saint Vincent and the Grenadines","null","182","1963"
"Antigua and Barbuda","null","183","1963"
"Saint Kitts and Nevis","null","184","1963"
"Bonaire","null","185","1963"
"Curaçao","null","186","1963"
"Sint Maarten (Dutch part)","null","187","1963"
"Australia","null","188","1963"
"New Zealand","null","189","1963"
"Samoa","null","190","1963"
"Nauru","null","191","1963"
"Tonga","null","192","1963"
"Tuvalu","null","193","1963"
"Solomon Islands","null","194","1963"
"Kiribati","null","195","1963"
"Vanuatu","null","196","1963"
"Marshall Islands (the)","null","197","1963"
"Micronesia (Federated States of)","null","198","1963"
"Palau","null","199","1963"
"World","null","","1963"
"Faroe Islands","null","200","1963"
"United States Minor Outlying Islands","null","201","1963"
"Serranilla Bank","null","202","1963"
"Scarborough Reef","null","203","1963"
"Bajo Nuevo Bank (Petrel Is.)","null","204","1963"
"Spratly Islands","null","205","1963"
"American Samoa","null","206","1963"
"Greenland","null","207","1963"
"Guam","null","208","1963"
"Northern Mariana Islands","null","209","1963"
"Puerto Rico","null","210","1963"
"United States Virgin Islands","null","211","1963"
"Somaliland","null","212","1963"
"Northern Cyprus","null","213","1963"
"Cyprus No Mans Area","null","214","1963"
"Western Sahara","null","215","1963"
"Siachen Glacier","null","216","1963"
"Kosovo","null","217","1963"
